"","154_","176_","189_","182_","195_","199_","190_","197_","200_","201_","108_","139_","164_","148_","173_","187_","165_","184_","188_","196_"
"154_",1,0.361988763885454,-0.0789737596197364,0.777969980838945,-0.310673093776088,0.0280797382413226,0.207264612540096,-0.0586422169714494,-0.0852649401208872,0.00729016410525235,0.142120410007338,-0.0290511926007356,0.125658990695668,-0.21398573011468,-0.0572628256886283,0.0759138286402545,-0.00424087765827139,-0.14934029583761,-0.10507968536279,0.0370288967700017
"176_",0.361988763885455,1,0.626978416949918,-0.291813288758793,0.329510750064804,-0.119448789916969,0.470983889297318,-0.318644255923207,-0.0228422106154043,-0.108063726946961,-0.0253027512942499,0.0706270679964592,-0.0267729969131975,0.0411281379898424,-0.105123182082345,0.0111089485421034,0.319908587443719,-0.0870622717309552,-0.153780984928918,-0.0368436545897656
"189_",-0.0789737596197365,0.626978416949918,1,0.0374567560214285,-0.0936850172203384,0.398289459511047,-0.269795839310156,0.60800524972971,-0.237810088951225,-0.0877977694422059,-0.0508051768584413,0.0453142457581368,0.130830866516347,0.0749823653967331,-0.187964642732468,0.14488286485061,-0.0829163219769182,-0.0211245730345903,0.0302555358945115,-0.0215778727136943
"182_",0.777969980838945,-0.291813288758793,0.0374567560214286,1,0.439112271430591,-0.0818717603022013,-0.153261864157356,0.0534198007202396,0.0894705296238781,-0.0689182775903969,-0.0676189261196318,-0.0906025444425693,-0.0194888384179528,0.287840527319817,-0.014025473580721,-0.0612245328626165,0.0372089507206437,-0.000480765798533134,-0.00654879855443736,-0.0434521376764812
"195_",-0.310673093776088,0.329510750064804,-0.0936850172203384,0.439112271430591,1,0.560596784090529,0.150352795966982,-0.1964964969871,0.108338989365343,0.0460369128891648,0.0247783636948588,-0.0973349125594049,0.0191541645785981,-0.0914202228733893,0.225470689226609,-0.138416811381473,-0.0514799024897223,-0.186342861196701,0.129342805609311,-0.185909203207676
"199_",0.0280797382413225,-0.119448789916969,0.398289459511047,-0.0818717603022014,0.560596784090529,1,-0.322766178595992,0.0389991131288045,0.197010615857372,0.223777175044858,-0.0501924070760248,0.0350807257096908,0.0249088740933231,-0.139409155743314,0.0593344019834367,0.0221405667073687,-0.259326267123831,0.000178774640717351,-0.0882284367702653,0.0870727016686759
"190_",0.207264612540096,0.470983889297318,-0.269795839310156,-0.153261864157356,0.150352795966982,-0.322766178595992,1,0.464461595503625,0.429777636937961,-0.0717159208727652,-0.012209587204318,0.147146838545362,-0.0164922509986715,-0.000299791455428902,-0.107117771136395,-0.0973791176041121,-0.182482121642883,-0.0504919157437314,0.0431308539197228,0.0117587968815282
"197_",-0.0586422169714496,-0.318644255923207,0.60800524972971,0.0534198007202395,-0.196496496987099,0.0389991131288046,0.464461595503625,1,-0.0179012758126546,0.324994689154816,0.0794136804484495,-0.139331681529621,-0.0556266205213664,-0.120629571092191,0.0156542824656799,-0.268979385606548,0.072463793277594,0.313153289969963,-0.0666245712270256,-0.0695867717560423
"200_",-0.0852649401208871,-0.0228422106154044,-0.237810088951225,0.089470529623878,0.108338989365342,0.197010615857372,0.429777636937961,-0.0179012758126545,1,0.480361259499542,-0.0190303378087132,-0.108260161096714,-0.11332226731436,0.0628078009322564,-0.0184322799326351,0.129214696406043,0.200324071647081,0.096316295098004,-0.0344519518508101,0.0310898733896095
"201_",0.00729016410525201,-0.108063726946961,-0.0877977694422061,-0.068918277590397,0.0460369128891647,0.223777175044858,-0.0717159208727655,0.324994689154816,0.480361259499542,1,-0.0453052618076282,0.0503346259241161,-0.0752794601814004,0.0960464785980511,-0.0354314824762521,0.190442907652508,-0.0442995511614932,-0.0234698328212175,-0.00692055013390228,0.07566513999461
"108_",0.142120410007338,-0.0253027512942498,-0.0508051768584413,-0.0676189261196316,0.0247783636948585,-0.0501924070760253,-0.012209587204318,0.0794136804484498,-0.019030337808713,-0.0453052618076283,1,0.506960621397276,0.0283950003437744,0.602527850712372,-0.0650793243802877,-0.344798237156865,0.0962354405886647,-0.15026659036807,0.0217069617219906,0.0503249930639908
"139_",-0.0290511926007355,0.0706270679964591,0.0453142457581368,-0.0906025444425695,-0.097334912559405,0.0350807257096909,0.147146838545362,-0.139331681529621,-0.108260161096714,0.050334625924116,0.506960621397276,1,0.337427032689165,-0.078032962802357,0.383657412050623,0.0668675840514453,-0.0359014304109083,0.126824228905736,-0.0859420174120924,-0.0987914163876552
"164_",0.125658990695668,-0.0267729969131976,0.130830866516348,-0.0194888384179527,0.0191541645785981,0.024908874093323,-0.0164922509986715,-0.0556266205213664,-0.11332226731436,-0.0752794601814004,0.0283950003437744,0.337427032689165,1,-0.258272350061883,0.2794511884709,0.214931230181503,-0.22612184615325,0.427260336274358,0.190433586986676,-0.0240465372878095
"148_",-0.21398573011468,0.0411281379898425,0.0749823653967329,0.287840527319817,-0.0914202228733893,-0.139409155743314,-0.00029979145542897,-0.120629571092192,0.0628078009322561,0.0960464785980511,0.602527850712372,-0.0780329628023571,-0.258272350061883,1,0.333478619940892,0.347246032901907,-0.0421449349657756,0.0297358079889192,-0.0925845744255601,-0.0871626801139581
"173_",-0.0572628256886281,-0.105123182082345,-0.187964642732468,-0.0140254735807209,0.225470689226609,0.0593344019834367,-0.107117771136395,0.0156542824656796,-0.0184322799326349,-0.0354314824762519,-0.0650793243802877,0.383657412050623,0.2794511884709,0.333478619940892,1,0.00119487871817063,0.0625471217227681,0.0119318166080923,-0.0424690646102293,0.0414263603675898
