"","154_","176_","189_","182_","195_","199_","190_","197_","200_","201_","108_","139_","164_","148_","173_","187_","165_","184_","188_","196_"
"154_",1,0.48367204593725,-0.0815609685806529,0.770411606515939,-0.36043456184129,-0.0141807110592194,0.0511576644481543,-0.0538607119257007,0.0682472417215125,0.0459122428119727,0.00859912224924412,0.040457780586432,-0.0294989488477914,-0.0750126637741949,0.0834818509173003,-0.0556595327972262,-0.0318836405647048,-0.0286473321121299,-0.0232130174645813,0.0427320677261463
"176_",0.48367204593725,1,0.68481400564152,-0.359826307819781,0.426959110245534,-0.265906764915079,0.475812814575774,-0.338475864116796,-0.0963105251262706,-0.139149047340743,0.0602342285808837,-0.0476378460271451,-0.0259392719409647,-0.0457789655554946,-0.0507018943149596,0.13988013773579,0.38967753003541,-0.101049851077523,-0.0433647439151263,-0.0110685205197479
"189_",-0.081560968580653,0.68481400564152,1,0.0565618162790703,-0.213520300414191,0.500733219310781,-0.331452667574909,0.588649922052197,-0.140649169343579,-0.237715444885347,0.0161924980772308,-0.0335992897602217,0.119853339753667,-0.04499190447971,-0.0358683032063076,-0.0385318848678144,-0.223824925628613,-0.0102729480173534,0.0248958817052381,0.0889452743802121
"182_",0.770411606515939,-0.359826307819782,0.0565618162790706,1,0.502037603598733,-0.14589054652455,-0.0755383999603512,0.0282748337296503,0.0848148103129506,-0.0809381129975206,-0.0146260440790296,-0.137877138515508,0.0494500829890598,0.173266261981637,-0.029577643369492,-0.023164578307241,0.0302462072957204,-0.025854103840183,-0.048336336560495,-0.070829827909868
"195_",-0.36043456184129,0.426959110245534,-0.213520300414191,0.502037603598734,1,0.687995408166267,0.158038977487232,-0.285399100468979,0.10998089748713,0.173677240026382,0.0134182763341811,-0.00985166504496425,-0.0629052108358833,0.012915603419524,0.0701801344320122,-0.0518489238337253,-0.0824996856950554,-0.00480691122177232,-0.013341683675126,-0.190739380971973
"199_",-0.0141807110592196,-0.265906764915079,0.500733219310781,-0.14589054652455,0.687995408166266,1,-0.286080615627204,0.0795009110343061,-0.00045834790954548,0.296974857462735,-0.0934615001284075,0.0535850817986224,0.00213230464485498,-0.00515726629968462,-0.0257969445704869,0.0535402076273142,-0.0939435116308588,-0.0313371137099641,0.0790689616324574,-0.0449928889669629
"190_",0.0511576644481542,0.475812814575774,-0.331452667574908,-0.0755383999603507,0.158038977487232,-0.286080615627204,1,0.651274417738289,0.189657520406956,0.111148881176015,-0.00695506654030116,0.0324800381736319,0.0840979635611332,-0.0311729407027524,-0.0732151089899881,-0.0019948455565317,-0.262196527900316,-0.215431329051838,0.108924926911502,-0.134909913440981
"197_",-0.0538607119257006,-0.338475864116796,0.588649922052196,0.0282748337296503,-0.285399100468979,0.0795009110343061,0.651274417738289,1,0.049714682231547,0.313185162690048,-0.020481363383469,-0.023890471396939,-0.12876405373405,0.0142351237187165,-0.0172768285789416,-0.143338401964048,0.159144232218698,0.299907321917477,-0.162010280673532,-0.0737861546891173
"200_",0.0682472417215123,-0.0963105251262708,-0.140649169343579,0.0848148103129506,0.109980897487131,-0.000458347909545524,0.189657520406955,0.0497146822315469,1,0.246136079484139,0.0278148892086625,-0.0558354577049797,0.00206745687990265,-0.0482668443636152,-0.0278912526094209,0.136299072076584,0.184929082200592,-0.13098869086541,0.0584065727028154,0.110206555828899
"201_",0.0459122428119725,-0.139149047340743,-0.237715444885347,-0.0809381129975205,0.173677240026382,0.296974857462735,0.111148881176015,0.313185162690048,0.246136079484139,1,-0.0213604411073713,-0.00932524571037136,-0.087771000510424,0.0206417375207975,0.0181789956708058,-0.0540247675592512,0.0116459893310346,0.170109278598732,-0.118426504550583,0.239678725773034
"108_",0.00859912224924414,0.0602342285808838,0.0161924980772307,-0.0146260440790294,0.0134182763341812,-0.0934615001284074,-0.00695506654030089,-0.0204813633834689,0.0278148892086624,-0.0213604411073714,1,0.542591475203035,-0.249570627191763,0.605440108455029,-0.0958445857460473,-0.213633849538674,-0.0131242152210958,0.205704261480746,0.0326010248020169,-0.00899539339009718
"139_",0.040457780586432,-0.0476378460271451,-0.0335992897602217,-0.137877138515508,-0.00985166504496434,0.0535850817986225,0.0324800381736319,-0.0238904713969391,-0.0558354577049803,-0.0093252457103714,0.542591475203035,1,0.666616243165137,0.0744718983708798,0.0497691975075211,-0.0829210016785142,0.063323476702027,-0.0344854844591393,-0.0196296878940124,-0.139205937942709
"164_",-0.0294989488477914,-0.0259392719409649,0.119853339753667,0.0494500829890599,-0.0629052108358833,0.00213230464485512,0.084097963561133,-0.12876405373405,0.00206745687990305,-0.087771000510424,-0.249570627191764,0.666616243165137,1,-0.111626476161516,0.300257832116953,0.228094940103103,-0.295582354041053,0.267963960131966,-0.130763384584682,0.0193524702159165
"148_",-0.075012663774195,-0.0457789655554945,-0.0449919044797102,0.173266261981637,0.0129156034195242,-0.00515726629968455,-0.0311729407027522,0.0142351237187163,-0.048266844363615,0.0206417375207975,0.605440108455028,0.0744718983708798,-0.111626476161516,1,0.287758100173768,0.191049620818795,-0.0314051378265422,-0.189615963621912,-0.0476358108309078,0.001261815241323
"173_",0.0834818509173004,-0.0507018943149596,-0.0358683032063078,-0.0295776433694922,0.0701801344320119,-0.025796944570487,-0.0732151089899881,-0.0172768285789417,-0.0278912526094207,0.018178995670806,-0.0958445857460469,0.0497691975075212,0.300257832116953,0.287758100173768,1,0.0927176055392626,0.18004178812034,-0.0439933778789665,-0.0475595639652249,-0.0112686657760235
"187_",-0.0556595327972257,0.13988013773579,-0.0385318848678141,-0.0231645783072401,-0.0518489238337251,0.0535402076273144,-0.00199484555653161,-0.143338401964048,0.136299072076584,-0.0540247675592513,-0.213633849538674,-0.0829210016785141,0.228094940103104,0.191049620818794,0.0927176055392633,1,-0.22995253828687,0.32788230791156,0.149109103717851,0.252889156877544
"165_",-0.031883640564705,0.38967753003541,-0.223824925628614,0.0302462072957203,-0.0824996856950555,-0.0939435116308591,-0.262196527900316,0.159144232218698,0.184929082200593,0.0116459893310347,-0.0131242152210956,0.063323476702027,-0.295582354041053,-0.0314051378265424,0.18004178812034,-0.229952538286869,1,0.550057194854097,-0.00518436936936008,-0.00462049208778028
"184_",-0.0286473321121301,-0.101049851077523,-0.0102729480173532,-0.0258541038401844,-0.00480691122177223,-0.031337113709964,-0.215431329051838,0.299907321917477,-0.13098869086541,0.170109278598732,0.205704261480746,-0.0344854844591391,0.267963960131966,-0.189615963621911,-0.043993377878966,0.32788230791156,0.550057194854098,1,0.0251022737888279,-0.0774466883645854
"188_",-0.0232130174645811,-0.0433647439151267,0.0248958817052383,-0.0483363365604953,-0.0133416836751262,0.0790689616324572,0.108924926911502,-0.162010280673533,0.0584065727028156,-0.118426504550584,0.032601024802017,-0.0196296878940123,-0.130763384584682,-0.0476358108309081,-0.0475595639652249,0.149109103717852,-0.00518436936935903,0.0251022737888274,1,0.190047559277154
"196_",0.0427320677261463,-0.0110685205197481,0.0889452743802121,-0.070829827909868,-0.190739380971973,-0.0449928889669628,-0.134909913440981,-0.0737861546891172,0.110206555828898,0.239678725773034,-0.00899539339009659,-0.139205937942709,0.0193524702159164,0.00126181524132339,-0.011268665776023,0.252889156877544,-0.00462049208778034,-0.0774466883645859,0.190047559277154,1
