"","154_","176_","189_","182_","195_","199_","190_","197_","200_","201_"
"154_",1,0.569632664488475,-0.275907386060548,0.661144940385898,-0.351440372268894,-0.148907672392963,-0.15481298040102,-0.0539094112402935,0.00699251105727437,-0.0720299942947998
"176_",0.569632664488475,1,0.729565539327955,-0.367879278571466,0.274189257964749,-0.234232717963566,0.607345217926151,-0.390828069450458,0.0136716545382872,-0.0701898121436064
"189_",-0.275907386060548,0.729565539327955,1,0.0396791159783512,-0.206424199399573,0.259523011623034,-0.586433237094889,0.631176939303544,-0.22845266841981,-0.0422943598883924
"182_",0.661144940385898,-0.367879278571466,0.0396791159783514,1,0.443333699024638,-0.147299204614569,0.00240913154998579,0.00383120238444427,-0.0026131431603025,-0.0451279621785236
"195_",-0.351440372268894,0.274189257964749,-0.206424199399572,0.443333699024639,1,0.536486950125379,-0.0772103361881466,-0.271311693023555,-0.107524096114768,-0.133272227785459
"199_",-0.148907672392963,-0.234232717963567,0.259523011623034,-0.14729920461457,0.53648695012538,1,-0.0504628755827262,0.070798803377429,0.102775976470243,0.0883322865788845
"190_",-0.15481298040102,0.607345217926152,-0.586433237094889,0.00240913154998657,-0.077210336188145,-0.0504628755827251,1,0.548723111093598,-0.0453912286902836,-0.170917172123401
"197_",-0.0539094112402933,-0.390828069450458,0.631176939303544,0.00383120238444274,-0.271311693023555,0.0707988033774285,0.548723111093598,1,-0.0468264206854795,0.0877184471601688
"200_",0.00699251105727506,0.0136716545382862,-0.228452668419811,-0.00261314316030246,-0.107524096114769,0.102775976470242,-0.0453912286902851,-0.046826420685479,1,0.411506596040735
"201_",-0.0720299942947997,-0.0701898121436063,-0.0422943598883919,-0.0451279621785235,-0.133272227785459,0.0883322865788843,-0.170917172123401,0.0877184471601695,0.411506596040739,1
