"","154_","176_","189_","182_","195_","199_","190_","197_","200_","201_","108_","139_","164_","148_","173_","187_","165_","184_","188_","196_"
"154_",1,0.49710951019077,-0.033792228622457,0.650228077079293,0.0246158104216865,-0.514627852399971,-0.132061510911395,0.14147916446951,0.127775230921293,-0.136524633012303,0.0323063611241962,-0.00863945375462177,-0.0113741967281801,-0.159831493293261,-0.0198462485539727,0.0237009750198769,0.0281863060082483,0.0126354058627792,-0.12090027160776,0.0250272038013472
"176_",0.49710951019077,1,0.581661061586793,-0.225233173589396,-0.100458299998813,0.090707180259831,0.579437544966709,-0.410256441889624,-0.159488495732837,0.0225656115536437,0.0488550399083401,0.0210697313609937,0.0845772931375089,-0.00866982935196104,0.01705155888617,0.122825721226659,-0.106726855330283,-0.269369236431379,-0.00833621933607843,0.0217194626560564
"189_",-0.0337922286224571,0.581661061586793,1,-0.167996441025696,0.222647201389358,0.375056443278861,-0.384538088894787,0.646719664661468,-0.0431863796267883,-0.218757875493893,-0.0137155216362718,-0.00327763233934584,0.0577417202174485,-0.096270346762069,0.0190803465234027,-0.209904641499671,0.00507267348352651,-0.00849443476666538,0.0234695669383569,0.172280287042626
"182_",0.650228077079293,-0.225233173589396,-0.167996441025696,1,0.422105411864321,0.397206188222676,-0.0290257199488492,0.0162488031340724,0.0154663407545356,-0.0130877737745019,-0.00589275067497861,-0.0131529903861727,-0.0209807437431933,0.188085380584067,0.130900551427025,-0.00164150705801029,-0.0347600490334557,-0.124011529365136,0.0231759381265632,-0.121697188092168
"195_",0.0246158104216865,-0.100458299998813,0.222647201389359,0.422105411864322,1,0.191734786092581,0.410867678388082,-0.487119277662027,-0.00371307843389961,0.0791774430746297,-0.0267753260193985,-0.0333592018242824,-0.071421919335916,-0.0283652919051292,-0.256673709377404,0.151140583641766,-0.0161178398400152,0.143719117288795,0.0369772976011768,-0.0254786618337752
"199_",-0.514627852399971,0.0907071802598309,0.375056443278862,0.397206188222677,0.191734786092581,1,-0.232448370361462,0.0652039183331815,-0.0652667753866552,0.385106924541266,-0.173941200354706,0.0499801580496594,-0.0165170648948418,0.0341896437795642,0.00135541903067323,-0.00258207428915926,0.10989553367684,-0.0837818070512137,-0.0354685715808442,-0.108382817401499
"190_",-0.132061510911395,0.579437544966709,-0.384538088894786,-0.029025719948849,0.410867678388083,-0.232448370361462,1,0.656968700275012,0.179975097767297,0.0125036945342052,0.0694737519335568,-0.0891927681681299,-0.0903868564157373,-0.108951701963802,0.00924519104041669,-0.141512455768148,0.153886930905088,0.12091304004451,0.0540603365710116,-0.0671519068262379
"197_",0.141479164469509,-0.410256441889624,0.646719664661468,0.0162488031340724,-0.487119277662028,0.0652039183331815,0.656968700275012,1,-0.068856594935597,0.338743354511972,0.0225238847742962,0.0176819949210107,-0.0106467016424924,-0.0239113162121119,-0.132139586357151,0.180753555803186,-0.0898909492746638,0.043219052683135,-0.0941442157799513,-0.165930701153101
"200_",0.127775230921293,-0.159488495732837,-0.0431863796267898,0.0154663407545356,-0.00371307843389958,-0.065266775386656,0.179975097767296,-0.0688565949355969,1,0.459849199041641,-0.100796241285482,-0.0284448665744752,-0.0328476353632824,0.0372475301602948,0.0905275663222189,0.167287907549293,0.0487318627699383,-0.076387064496358,-0.00434298353314736,0.0406719680502206
"201_",-0.136524633012303,0.0225656115536437,-0.218757875493893,-0.0130877737745022,0.0791774430746302,0.385106924541266,0.0125036945342051,0.338743354511972,0.459849199041639,1,0.0229772863685095,-0.0132081520675649,-0.0218539131377286,0.0497099183714797,-0.0169314025010825,-0.0672062687253432,-0.256451247661644,0.0958688494619861,-0.0634439896832041,0.215988898171705
"108_",0.0323063611241963,0.0488550399083402,-0.0137155216362715,-0.0058927506749784,-0.0267753260193987,-0.173941200354706,0.069473751933557,0.0225238847742963,-0.100796241285482,0.0229772863685096,1,0.647670486494421,-0.245381914437977,0.575224314085136,-0.120409920387131,0.0114386834388315,0.0052397641848225,-0.145709334946563,-0.027909503815996,0.0933186328597629
