"","154_","176_","189_","182_","195_","199_","190_","197_","200_","201_","108_","139_","164_","148_","173_","187_","165_","184_","188_","196_"
"154_",1,0.297730446713476,-0.0959816106971187,0.325919515107133,0.622221307570399,-0.626522115549563,-0.29541811897114,0.315798761363352,-0.0510742971223912,-0.0136278969182048,-0.0204016030066244,0.0359746492357465,-0.0481257752539839,-0.109567347533609,-0.068189971696637,0.0940851682757763,0.0779294308212834,0.048933091016621,-0.0866968956879953,0.0571000007990687
"176_",0.297730446713475,1,0.709513859564353,-0.294233859794412,0.131657427546184,-0.00570162310409558,0.624850650051824,-0.546438690361186,0.0212292797320247,-0.00156452825541085,0.0821618351263408,-0.0846254255389188,0.107733427332882,0.0281836001018343,0.0479635580893962,-0.120262346537087,0.0195124315562563,-0.143046042068307,-0.0826795189038954,0.126700978224969
"189_",-0.0959816106971184,0.709513859564354,1,0.00142464533934576,-0.0127564361508964,0.371181300398104,-0.422959011212679,0.668902822571104,-0.107422153945556,-0.264551417501735,-0.0646891820656084,0.0805687347692555,0.0519393098160245,-0.0484995738078439,-0.149331517012772,0.0954277828573067,-0.072847020265489,-0.0454814190382735,0.036155952666822,0.0495624720948411
"182_",0.325919515107133,-0.294233859794413,0.0014246453393463,1,0.354706984449358,0.196941534761088,0.0160974588013923,-0.0738468953568723,0.105182053157773,-0.074074496939942,0.0161437270372017,-0.131244333639759,-0.0568232223062403,0.145271769991946,0.152037718818127,-0.0234264665892249,0.0126426933338753,-0.00293184912858807,-0.0434407670713604,-0.110764277794546
"195_",0.622221307570398,0.131657427546185,-0.0127564361508966,0.35470698444936,1,0.479157544388022,0.244027822713935,-0.269552831776891,0.034635229002182,0.0468583145617817,0.060383873828385,-0.00161018478492497,-0.00404541806881685,-0.0675801076887705,0.0192230888093247,0.0884291041360636,-0.0647198511743703,-0.0689170181965546,0.0869071886742668,-0.115032424683299
"199_",-0.626522115549562,-0.00570162310409528,0.371181300398105,0.196941534761087,0.479157544388023,1,-0.32185192110129,0.0958138459332162,-0.00773549179279744,0.429277666429248,-0.0920595222934094,0.0395677749564375,-0.0919969983179015,-0.0168242811079817,0.0771786372439395,-0.0253622719311713,0.0358433100759858,0.0315708144515204,0.0118520071083038,-0.00402328823361416
"190_",-0.29541811897114,0.624850650051824,-0.422959011212678,0.0160974588013918,0.244027822713934,-0.32185192110129,1,0.736938058792935,0.179346844507874,-0.0337507010787313,-0.0211097928552529,0.0305305927202322,-0.142645939031914,-0.0529254221527652,-0.0373992738760051,0.0542137147220419,0.0357545124701175,0.0516739459867455,0.076248308039771,-0.144010522082468
"197_",0.315798761363352,-0.546438690361187,0.668902822571104,-0.0738468953568726,-0.26955283177689,0.0958138459332158,0.736938058792935,1,-0.100906883720246,0.364035920494106,0.00749036000201956,-0.032016215465037,0.0241038231294773,0.0664150834550343,-0.0405450243359103,-0.124314819203491,-0.00135050378388341,0.0965334192082052,-0.102378548339738,-0.0143436147562545
"200_",-0.0510742971223912,0.021229279732024,-0.107422153945555,0.105182053157774,0.0346352290021824,-0.00773549179279705,0.179346844507873,-0.100906883720247,1,0.493193884897725,0.0338794074099654,-0.00683126038519035,-0.0840915292503546,-0.0632339276028436,-0.0173893975126786,0.0836443586874901,0.0467538896435911,-0.00693135139692367,-0.0998307447910321,0.176067722846953
"201_",-0.0136278969182053,-0.00156452825541177,-0.264551417501735,-0.074074496939941,0.0468583145617812,0.429277666429247,-0.0337507010787306,0.364035920494107,0.493193884897725,1,-0.0341396311190124,-0.0342796901255504,0.0574450964885551,0.0146206634506459,0.017763022816408,-0.0637592495548753,-0.0586345878034134,-0.0177456021753811,-0.018746332882113,0.0618498066575151
