m/z [M-H]-,RT (min),Composition,Structure,Core,Epitope,HexNAc,Hexose,Fucose,Neu5Ac,Sulfation,Monosaccharides,1A,2A,3A,4A,5A,6A,1B,2B,3B,4B,5B,6B,1C,2C,3C,4C,5C,6C,1D,2D,3D,4D,5D,6D,Mean A,Mean B,Mean C,Mean D,p.AB,q.AB,p.CD,q.CD,p.AC,q.AC,p.BD,q.BD,% ,SEM,N,% ,SEM,N,% ,SEM,N,% ,SEM,N,% ,SEM,N,% ,SEM,N
1186.44,21.34,NeuAc1Hex2HexNAc2dHex1,"NeuAcα2,3Galβ1,3(Fucα1,2Galβ1,4GlcNAcβ1,6)GalNAcol",2,H,2,2,1,1,,6,-0.732,-0.386,-0.749,-0.376,-0.625,-0.364,1.343,-0.717,-0.607,0.236,-0.784,-0.596,-0.620,-0.259,-0.726,-0.700,-0.554,-0.515,-0.327,0.164,-0.200,-0.132,-0.888,-0.475,-0.539,-0.188,-0.562,-0.310,0.339,0.820,0.146,0.887,0.820,0.992,0.749,0.972,0.211,0.050,6,3.998,3.590,6,0.194,0.055,6,0.527,0.188,6,0.202,0.035,12,2.262,1.792,12
1186.61,16.89,NeuAc1Hex2HexNAc2dHex1,"Galβ1,3(NeuAcα2-?Galβ1,4(Fuc)GlcNAcβ1,6)GalNAcol",2,sLea/x,2,2,1,1,,6,-0.534,-0.203,-0.584,-0.494,-0.907,-0.198,-0.234,-0.483,-0.600,0.160,-0.730,-0.356,-0.541,-0.120,-0.217,-0.616,-0.611,-0.542,-0.540,-0.311,-0.233,-0.120,-0.772,-0.339,-0.487,-0.374,-0.441,-0.386,0.517,0.842,0.679,0.956,0.751,0.992,0.943,0.972,0.276,0.085,6,0.439,0.190,6,0.304,0.090,6,0.358,0.086,6,0.290,0.059,12,0.399,0.100,12
1187.43,25.60,Hex2HexNAc2dHex3,"Fucα1,2Galβ1,3(Fucα1,2Galβ1,3(Fucα1,4)GlcNAcβ1,6)GalNAcol",2,"H, Lewis b/y",2,2,3,,,7,-0.143,-0.368,0.389,-0.792,-0.815,-0.332,-0.805,0.648,1.046,0.402,-0.771,-0.309,-0.157,-0.411,0.365,-0.494,-0.008,-0.296,-0.548,-0.170,0.846,0.294,0.501,-0.126,-0.343,0.035,-0.167,0.133,0.325,0.804,0.247,0.887,0.447,0.992,0.801,0.972,0.630,0.355,6,3.050,1.735,6,0.769,0.306,6,2.210,1.035,6,0.699,0.224,12,2.630,0.971,12
1203.53,23.34,Hex3HexNAc2dHex2,"Fucα1,2Galβ1,3(Galα1,3(Fucα1,2)Galβ1,4GlcNAcβ1,6)GalNAcol",2,"H, blood B",2,3,2,,,7,0.600,-1.000,-1.000,-1.000,-1.000,-1.000,-0.233,-1.000,-1.000,-1.000,-1.000,-1.000,0.653,-1.000,-1.000,-1.000,-1.000,-1.000,0.894,-1.000,-1.000,-1.000,-1.000,-1.000,-0.733,-0.872,-0.725,-0.684,0.649,0.926,0.925,0.973,0.982,0.992,0.593,0.972,0.647,0.647,6,0.081,0.081,6,0.732,0.732,6,1.289,1.289,6,0.690,0.466,12,0.685,0.642,12
1244.52,23.47,Hex2HexNAc3dHex2,"Fucα1,2Galβ1,3(GalNAcα1,3(Fucα1,2)Galβ1,4GlcNAcβ1,6)GalNAcol",2,"H, blood A",3,2,2,,,7,0.682,-1.000,0.725,-1.000,0.719,0.693,0.149,-1.000,0.556,-1.000,0.863,0.412,0.688,-1.000,0.676,-1.000,0.806,0.918,0.814,-1.000,0.473,-1.000,1.146,0.401,0.136,-0.004,0.181,0.139,0.780,0.943,0.938,0.976,0.933,0.992,0.781,0.972,3.313,1.050,6,2.413,1.109,6,3.982,1.363,6,4.267,2.154,6,3.648,0.827,12,3.340,1.188,12
1260.47,17.13,Hex3HexNAc3dHex1,"Galβ1,3(Galβ-GlcNAc-(Fuc-)Gal-GlcNAcβ1,6)GalNAcol",2,Lewisa/x,3,3,1,,,7,0.223,-0.207,0.021,-0.391,-0.143,-0.037,-0.102,-0.024,0.091,-0.571,-0.093,-0.156,0.369,-0.076,-0.042,-0.402,-0.003,-0.091,-0.012,-0.534,-0.224,0.285,-0.263,-0.138,-0.089,-0.143,-0.041,-0.148,0.679,0.930,0.493,0.956,0.724,0.992,0.972,0.972,0.798,0.180,6,0.691,0.129,6,0.948,0.272,6,0.744,0.235,6,0.873,0.157,12,0.717,0.128,12
1260.50,21.84,Hex3HexNAc3dHex1,"Gal-GlcNAc-Galβ1,3(Fucα1,2Galβ1,4GlcNAcβ1,6)GalNAcol",2,H,3,3,1,,,7,-0.138,0.168,-0.269,0.140,-0.416,0.175,-0.669,0.091,-0.250,-0.523,0.120,-0.180,-0.184,0.217,-0.140,-0.158,-0.255,0.016,-0.383,-0.357,-0.460,-0.140,-0.191,-0.196,-0.057,-0.235,-0.084,-0.288,0.309,0.803,0.043,0.723,0.833,0.992,0.716,0.972,0.900,0.207,6,0.615,0.190,6,0.786,0.166,6,0.435,0.063,6,0.843,0.128,12,0.525,0.099,12
1260.54,25.19,Hex3HexNAc3dHex1,"Fucα1,2Galβ1,3(Gal-GlcNAc-Galβ1,4GlcNAcβ1,6)GalNAcol",2,H,3,3,1,,,7,-0.236,-0.177,-0.730,-0.796,-0.923,-0.204,-0.834,-0.580,-0.780,-0.936,-0.894,-0.686,-0.365,-0.180,-0.473,-0.507,-0.886,-0.295,-0.963,-0.596,-0.877,-0.593,-0.654,-0.582,-0.511,-0.785,-0.451,-0.711,0.096,0.659,0.057,0.723,0.734,0.992,0.414,0.972,0.290,0.106,6,0.071,0.023,6,0.296,0.074,6,0.106,0.028,6,0.293,0.062,12,0.088,0.018,12
1317.49,18.96,Hex3HexNAc4,"Gal-GlcNAc-Galβ1,3(GlcNAc-Gal-GlcNAcβ1,6)GalNAcol",2,αGlcNAc,4,3,,,,7,0.217,-0.382,0.007,-0.134,0.531,-0.141,-0.119,0.068,0.330,-0.245,0.572,0.251,-0.135,-0.218,0.234,0.663,0.092,-0.141,-0.268,-0.069,-0.251,0.322,-0.097,0.273,0.016,0.143,0.082,-0.015,0.497,0.842,0.581,0.956,0.733,0.992,0.351,0.972,1.222,0.448,6,1.592,0.475,6,1.502,0.624,6,1.021,0.280,6,1.362,0.369,12,1.307,0.276,12
1331.47,21.59,NeuAc2Hex2HexNAc2,"NeuAcα2,3Galβ1,3(NeuAcα2,3Galβ1-4GlcNAcβ1-6)GalNAcol",2,,2,2,,2,,6,-0.269,-0.387,-0.549,-0.207,-0.091,-0.125,0.428,-0.082,-0.372,1.175,-0.257,0.752,-0.262,-0.236,-0.231,-0.112,-0.106,-0.231,-0.490,0.857,0.416,0.192,-0.808,0.648,-0.271,0.274,-0.196,0.136,0.063,0.659,0.246,0.887,0.345,0.992,0.714,0.972,0.469,0.082,6,4.084,2.304,6,0.543,0.043,6,2.612,1.105,6,0.506,0.046,12,3.348,1.239,12
1406.48,15.96,Hex3HexNAc3dHex2,"Gal-(Fuc-)GlcNAcβ1,3Galβ1,3(Gal-(Fuc-)GlcNAcβ1,6)GalNAcol",2,Lewisa/x,3,3,2,,,8,0.310,-0.328,-0.339,-0.452,-0.346,-0.304,-0.394,-0.577,-0.386,-0.840,-0.564,-0.618,0.530,-0.253,-0.309,-0.608,-0.247,-0.388,0.253,-0.761,-0.532,0.186,-0.345,-0.588,-0.243,-0.563,-0.212,-0.298,0.035,0.659,0.723,0.956,0.877,0.992,0.183,0.972,0.612,0.267,6,0.190,0.042,6,0.843,0.491,6,0.650,0.292,6,0.727,0.269,12,0.420,0.157,12
1406.55,18.22,Hex3HexNAc3dHex2,"GalNAcα1,3(Fucα1,2)Galβ1,3(Galα1,3(Fucα1,2)Galβ1,4GlcNAcβ1,6)GalNAcol",2,"blood A, B",3,3,2,,,8,0.146,-1.000,-1.000,-1.000,-1.000,-1.000,-0.741,-1.000,-1.000,-1.000,-1.000,-1.000,0.240,-1.000,-1.000,-1.000,-1.000,-1.000,0.222,-1.000,-1.000,-1.000,-1.000,-1.000,-0.809,-0.957,-0.793,-0.796,0.468,0.842,0.992,0.992,0.957,0.992,0.459,0.972,0.216,0.216,6,0.014,0.014,6,0.273,0.273,6,0.261,0.261,6,0.245,0.166,12,0.138,0.130,12
1406.55,24.58,Hex3HexNAc3dHex2,"Fucα1,2Gal-GlcNAc-Galβ1,3(Fucα1,2Gal-GlcNAcβ1,6)GalNAcol",2,H,3,3,2,,,8,-0.012,0.488,0.053,0.347,-0.466,0.464,-0.331,0.190,-0.306,-0.329,-0.224,-0.627,-0.058,0.458,0.110,0.081,-0.306,0.346,-0.408,-0.174,-0.271,-0.130,-0.071,-0.503,0.146,-0.271,0.105,-0.260,0.047,0.659,0.020,0.684,0.832,0.992,0.930,0.972,1.677,0.459,6,0.535,0.189,6,1.392,0.362,6,0.483,0.085,6,1.534,0.282,12,0.509,0.099,12
1447.55,18.10,Hex2HexNAc4dHex2,"GalNAcα1,3(Fucα1,2)Galβ1,3(GalNAcα1,3(Fucα1,2)Galβ1,4GlcNAcβ1,6)GalNAcol",2,blood A,4,2,2,,,8,0.178,-1.000,0.022,-1.000,0.140,-0.074,-0.103,-1.000,0.139,-1.000,0.190,0.153,0.286,-1.000,-0.010,-1.000,0.202,0.304,0.333,-1.000,0.215,-1.000,0.364,0.132,-0.289,-0.270,-0.203,-0.159,0.955,0.964,0.908,0.973,0.807,0.992,0.762,0.972,0.730,0.250,6,0.790,0.272,6,1.019,0.355,6,1.177,0.398,6,0.875,0.212,12,0.983,0.237,12
1463.52,18.34,Hex3HexNAc4dHex1,"Gal-(Fuc-)GlcNAcβ1,3Galβ1,3(GlcNAcα1-4Galβ1,4GlcNAcβ1,6)GalNAcol",2,"Lewisa/x, αGlcNAc",4,3,1,,,8,0.304,-0.044,0.236,-0.170,0.149,0.161,0.006,0.007,0.342,-0.181,0.178,0.090,0.255,0.067,0.222,-0.268,0.211,0.193,-0.110,-0.266,-0.001,0.280,-0.008,0.098,0.106,0.074,0.113,-0.001,0.761,0.943,0.324,0.905,0.947,0.992,0.489,0.972,1.262,0.204,6,1.171,0.218,6,1.293,0.192,6,0.976,0.192,6,1.277,0.133,12,1.073,0.141,12
1477.47,18.96,NeuAc2Hex2HexNAc2dHex1,"NeuAcα2,3Galβ1,3(NeuAcα2,3Galβ1,3(Fucα1,4)GlcNAcβ1,6)GalNAcol",2,sLea/x,2,2,1,1,,6,0.046,-0.423,-0.679,-0.470,0.315,-0.379,0.648,-0.379,-0.121,0.915,0.213,0.261,-0.145,-0.333,-0.411,0.554,-0.198,-0.355,-0.468,0.156,0.044,0.236,-0.713,0.203,-0.265,0.256,-0.148,-0.090,0.061,0.659,0.798,0.956,0.591,0.992,0.203,0.972,0.654,0.293,6,2.783,1.214,6,0.937,0.511,6,0.965,0.267,6,0.795,0.284,12,1.874,0.653,12
1479.50,20.82,Hex4HexNAc4,"Galβ-GlcNAcβ1,3(Gal-GlcNAcβ1,6)Galβ1,3(Galβ1,4GlcNAcβ1,6)GalNAcol",2,I,4,4,,,,8,-0.603,-0.704,-0.797,-0.760,-0.513,-0.643,-0.931,-0.501,-0.655,-0.550,-0.818,0.082,-0.794,-0.578,-0.540,-0.135,-0.674,-0.790,-0.746,-0.225,-0.627,-0.227,-0.889,0.178,-0.670,-0.562,-0.585,-0.423,0.491,0.842,0.415,0.905,0.453,0.992,0.538,0.972,0.119,0.022,6,0.283,0.168,6,0.203,0.088,6,0.440,0.211,6,0.161,0.045,12,0.362,0.131,12
1520.54,19.47,Hex3HexNAc5,"GlcNAcα1,4Galβ1,3(GlcNAcα1,4Gal-GlcNAcβ1,3Galβ1,4GlcNAcβ1,6)GalNAcol",2,αGlcNAc,5,3,,,,8,0.013,-0.448,-0.139,-0.600,0.097,-0.147,-0.634,-0.147,0.141,-0.628,0.034,-0.458,-0.289,-0.314,-0.119,-0.132,-0.091,-0.148,-0.459,-0.421,-0.369,0.008,-0.438,-0.428,-0.204,-0.282,-0.182,-0.351,0.668,0.926,0.068,0.723,0.855,0.992,0.667,0.972,0.621,0.156,6,0.566,0.197,6,0.570,0.056,6,0.385,0.107,6,0.596,0.079,12,0.475,0.110,12
1552.58,16.38,Hex3HexNAc3dHex3,"Fucα1,2Galβ1,3[Gal-(Fuc-)GlcNAc-Gal-(Fuc-)GlcNAcβ1,6]GalNAcol",2,"H, Lewisa/x",3,3,3,,,9,-0.172,-0.895,-0.645,-0.920,-0.657,-0.828,-0.709,-0.760,-0.462,-0.825,-0.772,-0.794,-0.143,-0.874,-0.579,-0.876,-0.721,-0.792,0.300,-0.822,-0.521,-0.058,-0.534,-0.770,-0.686,-0.720,-0.664,-0.401,0.791,0.945,0.242,0.887,0.893,0.992,0.117,0.972,0.153,0.086,6,0.099,0.030,6,0.167,0.093,6,0.531,0.294,6,0.160,0.060,12,0.315,0.155,12
1552.58,18.23,Hex3HexNAc3dHex3,"GalNAcα1,3(Fucα1,2)Galβ1,3[Galα1,3(Fucα1,2)Gal-(Fuc-)GlcNAcβ1,6]GalNAcol",2,"blood A, B",3,3,3,,,9,-0.227,-1.000,-1.000,-1.000,-1.000,-1.000,0.119,-1.000,-1.000,-1.000,-1.000,-1.000,-0.344,-1.000,-1.000,-1.000,-1.000,-1.000,-0.125,-1.000,-1.000,-1.000,-1.000,-1.000,-0.871,-0.814,-0.891,-0.854,0.804,0.950,0.846,0.956,0.911,0.992,0.867,0.972,0.082,0.082,6,0.202,0.202,6,0.059,0.059,6,0.108,0.108,6,0.071,0.048,12,0.155,0.110,12
1552.58,22.46,Hex3HexNAc3dHex3,"Fuc-Galβ1,3[Gal-GlcNAc-(Fuc-)Gal-(Fuc-)GlcNAcβ1,6]GalNAcol",2,,3,3,3,,,9,-0.134,0.043,0.281,0.271,-0.123,-0.454,-0.718,0.315,-0.044,-0.450,-0.163,-0.874,-0.158,-0.068,0.235,-0.038,-0.004,-0.429,-0.164,-0.489,0.137,-0.163,0.102,-0.810,-0.019,-0.322,-0.077,-0.231,0.188,0.659,0.392,0.905,0.698,0.992,0.705,0.972,1.020,0.262,6,0.623,0.295,6,0.825,0.182,6,0.648,0.199,6,0.923,0.155,12,0.635,0.170,12
1593.66,17.78,Hex2HexNAc4dHex3,"GalNAcα1,3(Fucα1,2)Galβ1,3[GalNAcα1,3(Fucα1,2)Gal-(Fuc-)GlcNAcβ1,6]GalNAcol",2,blood A,4,2,3,,,9,-0.519,-0.920,-0.907,-0.932,-0.415,-0.876,-0.435,-0.871,-0.775,-0.817,-0.488,-0.618,-0.621,-0.907,-0.864,-0.818,-0.354,-0.571,-0.475,-0.802,-0.668,0.004,-0.296,-0.690,-0.761,-0.667,-0.689,-0.488,0.450,0.842,0.210,0.887,0.585,0.992,0.239,0.972,0.097,0.048,6,0.131,0.040,6,0.127,0.049,6,0.304,0.131,6,0.112,0.033,12,0.218,0.070,12
1609.50,15.38,Hex3HexNAc4dHex2,"Gal-(Fuc-)GlcNAcβ1,3(Gal-(Fuc-)GlcNAcβ1,6)Galβ1,3(GlcNAcβ1,6)GalNAcol",2,Lewisa/x,4,3,2,,,9,-0.482,-0.956,-0.733,-0.947,-0.852,-0.862,-0.940,-0.935,-0.740,-0.812,-0.760,-0.809,-0.106,-0.956,-0.789,-0.920,-0.784,-0.820,0.042,-0.834,-0.786,-0.365,-0.635,-0.708,-0.805,-0.833,-0.729,-0.548,0.742,0.943,0.354,0.905,0.615,0.992,0.069,0.972,0.069,0.034,6,0.049,0.012,6,0.149,0.107,6,0.279,0.151,6,0.109,0.055,12,0.164,0.080,12
1609.50,17.74,Hex3HexNAc4dHex2,"Gal-(Fuc-)GlcNAcβ1,3[Gal-(Fuc-)GlcNAcβ1,6]Galβ1,3(GlcNAcβ1,6)GalNAcol",2,"I, Lewisa/x",4,3,2,,,9,0.288,-0.304,0.247,-0.199,0.037,-0.068,-0.228,-0.006,0.452,-0.146,0.002,-0.026,0.448,-0.230,0.186,-0.331,0.122,0.058,0.173,-0.283,0.270,0.359,0.108,-0.102,0.000,0.008,0.042,0.087,0.955,0.964,0.772,0.956,0.787,0.992,0.577,0.972,1.030,0.244,6,1.079,0.338,6,1.211,0.344,6,1.271,0.268,6,1.120,0.203,12,1.175,0.208,12
1609.50,21.59,Hex3HexNAc4dHex2,"GalNAc-(Fuc-)Gal-GlcNAcGalβ1,3(Gal-(Fuc-)GlcNAcβ1,6)GalNAcol",2,"Lewisa/x, blood A",4,3,2,,,9,-0.141,-1.000,0.362,-1.000,0.181,0.191,-0.069,-1.000,0.221,-1.000,-0.037,0.012,-0.145,-1.000,0.363,-1.000,0.252,0.347,-0.276,-1.000,0.057,-1.000,-0.022,0.206,-0.235,-0.312,-0.197,-0.339,0.821,0.959,0.688,0.956,0.920,0.992,0.933,0.972,0.949,0.363,6,0.677,0.244,6,1.106,0.419,6,0.638,0.246,6,1.027,0.265,12,0.657,0.165,12
1625.50,22.85,Hex4HexNAc4dHex1,"Gal-(Fuc-)GlcNAcβ1,3(Gal-GlcNAcβ1,6)Galβ1,3(Gal-GlcNAcβ1,6)GalNAcol",2,"I, H",4,4,1,,,9,0.075,0.008,-0.175,-0.046,0.244,0.149,0.029,0.163,0.028,0.163,0.247,0.544,-0.009,0.183,-0.036,0.229,0.180,0.153,-0.057,0.265,-0.131,0.129,-0.475,0.509,0.042,0.196,0.117,0.040,0.151,0.659,0.612,0.956,0.349,0.992,0.353,0.972,1.056,0.158,6,1.619,0.373,6,1.242,0.129,6,1.295,0.424,6,1.149,0.101,12,1.457,0.274,12
1666.59,19.02,Hex3HexNAc5dHex1,"Fuc-Gal-GlcNAcβ1,3[GlcNAcβ1,6]Galβ1,3(GlcNAc-Gal-GlcNAcβ1,6)GalNAcol",2,I,5,3,1,,,9,-0.636,-0.822,-0.574,-0.874,-0.562,-0.697,-0.841,-0.675,-0.187,-0.891,-0.528,-0.658,-0.655,-0.731,-0.586,-0.832,-0.584,-0.613,-0.861,-0.809,-0.797,-0.151,-0.803,-0.762,-0.694,-0.630,-0.667,-0.697,0.592,0.926,0.800,0.956,0.688,0.992,0.665,0.972,0.110,0.024,6,0.175,0.079,6,0.120,0.018,6,0.148,0.092,6,0.115,0.014,12,0.162,0.058,12
1698.64,21.53,Hex3HexNAc3dHex4,"Gal-(Fuc-)GlcNAc(Fucα1,2)Galβ1,3(Fucα1,2Gal-(Fuc-)GlcNAcβ1,6)GalNAcol",2,Lewis b/y,3,3,4,,,10,-0.917,-0.890,-0.803,-0.800,-0.830,-0.852,-0.660,-0.791,-0.622,-0.257,-0.673,-0.714,-0.862,-0.838,-0.555,-0.714,-0.833,-0.883,-0.856,-0.701,-0.505,-0.016,-0.732,-0.802,-0.849,-0.620,-0.781,-0.602,0.015,0.536,0.221,0.887,0.243,0.992,0.907,0.972,0.042,0.006,6,0.163,0.059,6,0.072,0.023,6,0.226,0.130,6,0.057,0.012,12,0.195,0.069,12
1771.50,17.98,Hex4HexNAc4dHex2,"Fuc-Gal-GlcNAcβ1,3(Fuc-Gal-GlcNAcβ1,6)Galβ1,3(Gal-GlcNAcβ1,6)GalNAcol",2,"I, H",4,4,2,,,10,-0.016,-0.474,-0.512,-0.672,-0.385,-0.455,-0.644,-0.719,-0.415,-0.845,-0.630,-0.572,-0.068,-0.295,-0.500,-0.646,-0.347,-0.546,-0.358,-0.677,-0.505,-0.153,-0.795,-0.530,-0.419,-0.637,-0.400,-0.503,0.069,0.659,0.434,0.905,0.883,0.992,0.250,0.972,0.331,0.110,6,0.141,0.034,6,0.340,0.093,6,0.253,0.080,6,0.335,0.069,12,0.197,0.045,12
1771.50,22.22,Hex4HexNAc4dHex2,"Fuc-Gal-GlcNAcβ1,3(Gal-GlcNAcβ1,6)Galβ1,3(Fuc-Gal-GlcNAcβ1,6)GalNAcol",2,"I, H",4,4,2,,,10,-0.321,-0.290,0.008,-0.113,0.062,0.101,-0.240,0.055,-0.148,-0.102,-0.129,-0.051,-0.342,-0.182,-0.027,0.035,0.009,0.020,-0.473,-0.099,-0.204,-0.185,-0.543,-0.142,-0.092,-0.103,-0.081,-0.274,0.904,0.964,0.076,0.723,0.913,0.992,0.074,0.972,0.766,0.135,6,0.707,0.078,6,0.767,0.104,6,0.470,0.085,6,0.766,0.081,12,0.589,0.066,12
1771.50,24.70,Hex4HexNAc4dHex2,"Gal-GlcNAc-(Fucα1,2)Galα1,3(Fucα1,2Gal-GlcNAc-Gal-GlcNAcβ1,6)GalNAcol",2,H,4,4,2,,,10,-0.482,-0.033,-0.270,0.020,-0.655,0.080,-0.547,-0.036,-0.541,-0.587,-0.423,-0.743,-0.494,0.063,-0.307,-0.156,-0.562,0.005,-0.893,-0.186,-0.597,-0.158,-0.435,-0.378,-0.223,-0.479,-0.242,-0.441,0.132,0.659,0.224,0.887,0.910,0.992,0.802,0.972,0.611,0.165,6,0.285,0.110,6,0.559,0.149,6,0.319,0.090,6,0.585,0.106,12,0.302,0.068,12
1771.50,26.17,Hex4HexNAc4dHex2,"Fucα1,2Galα1,3(Fucα1,2Gal-GlcNAc-Gal-GlcNAc-Gal-GlcNAcβ1,6)GalNAcol",2,H,4,4,2,,,10,-0.118,0.275,-0.521,-0.152,-0.784,0.182,-0.460,-0.185,-0.799,-0.509,-0.754,-0.333,-0.226,0.208,-0.425,-0.146,-0.290,0.008,-0.950,-0.149,-0.618,-0.153,-0.493,-0.172,-0.186,-0.507,-0.145,-0.423,0.127,0.659,0.117,0.887,0.832,0.992,0.622,0.972,0.790,0.278,6,0.252,0.076,6,0.706,0.185,6,0.360,0.109,6,0.748,0.160,12,0.306,0.065,12
1812.69,17.09,Hex3HexNAc5dHex2,"GlcNAcα1,4(Fucα1,2)Gal-GlcNAcβ1,3)Galβ1,3(GlcNAcα1,4(Fucα1,2)Gal-GlcNAcβ1,6)GalNAcol",2,blood A,5,3,2,,,10,-0.160,-0.863,-0.497,-0.852,-0.284,-0.361,-0.753,-0.784,-0.481,-0.807,-0.138,-0.383,-0.079,-0.852,-0.564,-0.870,-0.197,-0.025,-0.339,-0.656,-0.513,-0.399,-0.135,-0.449,-0.503,-0.558,-0.431,-0.415,0.744,0.943,0.926,0.973,0.724,0.992,0.302,0.972,0.274,0.089,6,0.228,0.091,6,0.394,0.146,6,0.312,0.072,6,0.334,0.084,12,0.270,0.057,12
1843.68,22.01,NeuAc1Hex3HexNAc3dHex3,"Fucα1,2Galβ1,3(NeuAcα2,3Gal-(Fuc-)GlcNAcβ1,3Gal-(Fuc-)GlcNAcβ1,6)GalNAcol",2,"H, Lewis a/x",3,3,3,1,,10,-0.651,-0.989,-0.935,-0.799,-0.210,-0.905,0.069,-0.836,-0.772,0.066,-0.714,-0.779,-0.880,-0.925,-0.828,0.219,-0.800,-0.965,-0.903,-0.475,-0.578,-0.203,-0.921,-0.616,-0.748,-0.494,-0.697,-0.616,0.263,0.758,0.716,0.956,0.820,0.992,0.574,0.972,0.124,0.081,6,0.402,0.211,6,0.287,0.254,6,0.186,0.076,6,0.205,0.129,12,0.294,0.112,12
1917.50,16.89,Hex4HexNAc4dHex3,"Gal-(Fuc-)GlcNAcβ1,3(Gal-(Fuc-)GlcNAcβ1,6)Galβ1,3(Gal-(Fuc-)GlcNAcβ1,6)GalNAcol",2,"I, Lewisa/x",4,4,3,,,11,0.153,-0.288,-0.344,-0.326,-0.335,-0.360,-0.498,-0.615,-0.476,-0.647,-0.564,-0.638,0.226,-0.210,-0.358,-0.534,-0.315,-0.475,-0.075,-0.660,-0.494,-0.230,-0.594,-0.622,-0.250,-0.573,-0.278,-0.446,0.004,0.405,0.282,0.905,0.845,0.992,0.240,0.972,0.527,0.159,6,0.171,0.019,6,0.542,0.213,6,0.311,0.103,6,0.534,0.127,12,0.241,0.054,12
1917.50,24.70,Hex4HexNAc4dHex3,"Fucα1,2Galβ1,4GlcNAcβ1,3(Fucα1,2Galβ1,4GlcNAcβ1,6)Galβ1,3(Gal-(Fuc-)GlcNAcβ1,6)GalNAcol",2,"I, H, Lewisa/x",4,4,3,,,11,0.180,0.338,0.586,0.506,0.331,0.336,0.364,0.600,0.339,0.402,0.191,0.213,0.166,0.269,0.484,0.256,0.344,0.358,0.147,0.323,0.403,0.534,0.045,0.208,0.380,0.351,0.313,0.277,0.746,0.943,0.681,0.956,0.388,0.992,0.449,0.972,2.410,0.348,6,2.263,0.359,6,2.010,0.223,6,1.930,0.347,6,2.210,0.206,12,2.097,0.243,12
1974.74,18.19,Hex4HexNAc5dHex2,"Gal-(Fuc-)GlcNAcβ1,3(Gal-(Fuc-)GlcNAcβ1,6)Galβ1,3(GlcNAcα1,4Gal-GlcNAcβ1,6)GalNAcol",2,"αGlcNAc, Lewisa/x",5,4,2,,,11,0.234,-0.196,-0.060,-0.341,0.111,-0.054,-0.364,-0.322,-0.022,-0.494,-0.214,0.017,0.196,-0.056,-0.061,-0.230,0.071,0.002,-0.197,-0.499,-0.234,0.017,-0.462,-0.053,-0.051,-0.233,-0.013,-0.238,0.152,0.659,0.055,0.723,0.719,0.992,0.967,0.972,0.875,0.187,6,0.539,0.119,6,0.915,0.136,6,0.535,0.118,6,0.895,0.110,12,0.537,0.080,12
1988.72,19.09,NeuAc2Hex3HexNAc3dHex2,"NeuAcα2,3Galβ1,3(NeuAcα2,3Gal-(Fuc-)GlcNAc-Gal-(Fuc-)GlcNAcβ1,6)GalNAcol",2,Lewisa/x,3,3,2,2,,10,-0.407,-0.779,-0.748,-0.642,-0.339,-0.718,0.631,-0.798,-0.648,-0.252,-0.508,-0.468,-0.449,-0.801,-0.662,-0.661,-0.401,-0.922,-0.796,-0.819,-0.759,-0.538,-0.882,-0.508,-0.605,-0.341,-0.650,-0.717,0.260,0.758,0.529,0.956,0.701,0.992,0.114,0.972,0.169,0.051,6,0.878,0.662,6,0.144,0.045,6,0.103,0.031,6,0.157,0.032,12,0.491,0.337,12
1988.72,19.33,NeuAc2Hex3HexNAc3dHex2,"NeuAcα2,3Galβ1,3(NeuAcα2,3Gal-(Fuc-)GlcNAc-Gal-(Fuc)GlcNAcβ1,6)GalNAcol",2,Lewisa/x,3,3,2,2,,10,-0.638,-0.762,-0.912,-0.869,-0.465,-0.681,-0.207,-0.583,-0.883,-0.612,-0.534,-0.332,-0.778,-0.509,-0.920,-0.168,-0.851,-0.492,-0.860,-0.485,-0.739,-0.343,-0.932,-0.484,-0.721,-0.525,-0.620,-0.640,0.125,0.659,0.895,0.973,0.466,0.992,0.419,0.972,0.102,0.033,6,0.236,0.072,6,0.190,0.085,6,0.158,0.054,6,0.146,0.046,12,0.197,0.045,12
2031.76,19.56,Hex4HexNAc6dHex1,"Gal-(Fuc-)GlcNAcβ1,3(GlcNAcα1,4Gal-GlcNAcβ1,6)Galβ1,3(GlcNAcα1,4Gal-GlcNAcβ1,6)GalNAcol",2,"αGlcNAc, Lewisa/x",6,4,1,,,11,0.255,-0.085,0.095,-0.252,0.243,0.108,-0.227,-0.127,0.309,-0.461,0.279,0.187,0.142,0.045,0.111,-0.053,0.153,0.165,-0.421,-0.281,-0.173,-0.096,-0.389,0.027,0.061,-0.007,0.094,-0.222,0.664,0.926,0.002,0.260,0.715,0.992,0.171,0.972,1.143,0.201,6,1.094,0.295,6,1.159,0.091,6,0.542,0.107,6,1.151,0.105,12,0.818,0.171,12
