m/z [M-H]-,RT (min),Composition,Structure,Core,Epitope,HexNAc,Hexose,Fucose,Neu5Ac,Sulfation,Monosaccharides,1A,2A,3A,4A,5A,6A,1B,2B,3B,4B,5B,6B,1C,2C,3C,4C,5C,6C,1D,2D,3D,4D,5D,6D,Mean A,Mean B,Mean C,Mean D,p.AB,q.AB,p.CD,q.CD,p.AC,q.AC,p.BD,q.BD,% ,SEM,N,% ,SEM,N,% ,SEM,N,% ,SEM,N,% ,SEM,N,% ,SEM,N
733.44,19.46,Hex1HexNAc2dHex1,"Fucα1,2Galβ1,4GlcNAcβ1,3GalNAcol",3,H,2,1,1,,,4,-0.535,0.567,-0.233,0.585,-0.356,0.014,-0.782,0.218,-0.440,-0.179,-0.247,-0.100,-0.616,0.601,-0.329,0.371,-0.289,-0.037,-0.452,0.030,-0.114,0.156,-0.285,-0.161,0.007,-0.255,-0.050,-0.138,0.297,0.791,0.682,0.956,0.837,0.992,0.489,0.972,1.548,0.679,6,0.601,0.211,6,1.314,0.601,6,0.706,0.160,6,1.431,0.434,12,0.653,0.127,12
733.50,23.10,Hex1HexNAc2dHex1,"Fucα1,2Galβ1,3(GlcNAcβ1,6)GalNAcol",2,H,2,1,1,,,4,0.018,-0.086,0.427,0.114,0.281,-0.087,-0.616,0.141,0.542,0.227,0.127,0.018,0.038,-0.117,0.407,-0.412,0.456,0.108,1.129,0.104,0.636,-0.473,0.296,0.241,0.111,0.073,0.080,0.322,0.833,0.963,0.367,0.905,0.846,0.992,0.376,0.972,1.327,0.299,6,1.429,0.439,6,1.389,0.406,6,3.748,1.994,6,1.358,0.241,12,2.588,1.034,12
749.34,14.86,Hex2HexNAc2,"Galβ1,3(Galβ1,4GlcNAcβ1,6)GalNAcol",2,,2,2,,,,4,0.540,0.161,0.313,0.585,0.740,0.429,0.964,0.550,0.481,0.277,0.853,0.700,0.370,0.305,0.611,0.931,0.424,0.274,0.236,0.591,0.538,0.817,0.469,0.713,0.461,0.638,0.486,0.561,0.215,0.659,0.579,0.956,0.857,0.992,0.573,0.972,3.067,0.588,6,4.871,1.124,6,3.484,1.039,6,3.858,0.696,6,3.275,0.573,12,4.364,0.648,12
790.33,14.19,Hex1HexNAc3,"Galβ1,3(GalNAcβ1,4GlcNAcβ1,6)GalNAcol",2,LacdiNAc,3,1,,,,4,0.374,-0.082,-0.130,-0.009,0.259,-0.129,-0.009,0.041,0.045,-0.371,0.177,-0.085,0.444,0.050,0.022,0.509,-0.057,-0.111,0.181,-0.319,-0.118,0.344,0.027,-0.046,0.047,-0.034,0.143,0.011,0.503,0.842,0.382,0.905,0.510,0.992,0.719,0.972,1.146,0.279,6,0.890,0.146,6,1.539,0.438,6,1.055,0.254,6,1.343,0.255,12,0.973,0.142,12
813.34,16.52,Hex1HexNAc2dHex1Sul1,"SGlcNAcβ1,6(Fucα1,2Galβ1,3)GalNAcol",2,H,2,1,1,,1,4,-0.854,-0.797,-0.879,-0.846,-0.930,-0.941,-0.909,-0.935,-0.800,-0.940,-0.899,-0.853,-0.783,-0.845,-0.823,-0.768,-0.922,-0.890,-0.719,-0.862,-0.684,-0.564,-0.972,-0.901,-0.874,-0.889,-0.839,-0.784,0.642,0.926,0.435,0.905,0.304,0.992,0.143,0.972,0.034,0.007,6,0.030,0.007,6,0.046,0.008,6,0.073,0.025,6,0.040,0.005,12,0.052,0.014,12
821.46,23.22,NeuAc1Hex1HexNAc1dHex1,"Fucα1,2Galβ1,3(NeuAcα2,6)GalNAcol",1,H,1,1,1,1,,4,-0.602,-0.689,-0.742,-0.460,-0.002,-0.442,-0.789,-0.701,-0.712,0.020,-0.467,-0.154,-0.708,-0.644,-0.712,-0.313,0.106,-0.225,-0.408,-0.166,-0.605,-0.638,-0.613,-0.110,-0.490,-0.467,-0.416,-0.423,0.901,0.964,0.966,0.992,0.681,0.992,0.796,0.972,0.290,0.125,6,0.341,0.146,6,0.396,0.171,6,0.329,0.099,6,0.343,0.102,12,0.335,0.084,12
829.35,17.25,Hex2HexNAc2Sul1,"Galβ1,3(Galβ1,4(6S)GlcNAcβ1,6)GalNAcol",2,,2,2,,,1,4,-0.033,-0.153,-0.550,-0.065,0.110,-0.267,0.025,-0.248,-0.032,-0.118,-0.107,0.489,-0.140,0.048,-0.170,0.111,-0.255,-0.260,-0.470,0.100,0.318,0.526,-0.743,0.438,-0.160,0.002,-0.111,0.028,0.277,0.758,0.544,0.956,0.676,0.992,0.913,0.972,0.667,0.141,6,1.097,0.383,6,0.719,0.127,6,1.559,0.527,6,0.693,0.091,12,1.328,0.318,12
878.32,16.05,NeuAc1Hex1HexNAc2,"NeuAcα2,3Galβ1,3(GlcNAcβ1,6)GalNAcol",2,,2,1,,1,,4,-0.185,-0.683,-0.709,-0.580,-0.495,-0.572,-0.132,-0.511,-0.567,0.145,-0.449,-0.256,0.014,-0.575,-0.555,-0.693,-0.392,-0.529,-0.190,-0.117,-0.089,-0.120,-0.317,-0.224,-0.537,-0.295,-0.455,-0.176,0.103,0.659,0.027,0.700,0.533,0.992,0.329,0.972,0.218,0.070,6,0.504,0.174,6,0.314,0.127,6,0.577,0.051,6,0.266,0.070,12,0.540,0.087,12
895.32,12.58,Hex2HexNAc2dHex1,"Galβ1,3(Gal(Fuc)GlcNAcβ1,6)GalNAcol",2,Lewis a/x,2,2,1,,,5,0.670,-0.313,0.230,-0.359,-0.110,-0.044,0.219,-0.125,0.171,-0.257,-0.044,0.055,0.678,-0.162,0.332,-0.399,0.156,-0.011,-0.231,-0.260,-0.053,0.378,0.302,-0.024,0.012,0.003,0.099,0.019,0.959,0.964,0.682,0.956,0.703,0.992,0.908,0.972,1.397,0.663,6,0.980,0.174,6,1.634,0.655,6,1.127,0.317,6,1.515,0.446,12,1.054,0.174,12
895.40,17.01,Hex2HexNAc2dHex1,"Gal-(Fuc)GlcNAcβ1,3Galβ1,3GalNAcol",1,Lewis a/x,2,2,1,,,5,-0.142,-0.372,0.045,-0.041,-0.311,0.005,-0.435,0.024,-0.312,-0.470,-0.065,-0.450,0.072,-0.348,-0.044,-0.340,-0.172,-0.031,0.127,-0.531,0.082,-0.017,-0.058,-0.557,-0.136,-0.285,-0.144,-0.159,0.214,0.659,0.917,0.973,0.939,0.992,0.428,0.972,0.677,0.114,6,0.478,0.125,6,0.666,0.119,6,0.726,0.184,6,0.672,0.079,12,0.602,0.112,12
895.45,19.46,Hex2HexNAc2dHex1,"Galβ1,3(Fucα1,2Galβ1,4GlcNAcβ1,6)GalNAcol",2,H,2,2,1,,,5,-0.023,0.574,0.559,0.453,0.116,0.572,-0.592,0.704,0.301,-0.026,0.295,0.414,-0.061,0.659,0.461,0.213,0.298,0.413,-0.082,0.203,0.474,0.524,0.304,0.337,0.375,0.183,0.330,0.293,0.385,0.842,0.787,0.956,0.766,0.992,0.598,0.972,2.599,0.518,6,2.038,0.677,6,2.320,0.517,6,2.055,0.373,6,2.460,0.351,12,2.047,0.369,12
895.52,23.34,Hex2HexNAc2dHex1,"Fucα1,2Galβ1,3(Galβ1,4GlcNAcβ1,6)GalNAcol",2,H,2,2,1,,,5,0.281,0.822,0.731,0.719,0.380,0.890,-0.680,0.868,0.689,0.256,0.644,-0.077,0.265,0.826,0.622,0.427,0.608,0.777,0.731,0.243,0.696,0.353,0.721,-0.004,0.637,0.283,0.587,0.457,0.201,0.659,0.411,0.905,0.716,0.992,0.533,0.972,4.787,0.944,6,3.153,1.129,6,4.139,0.760,6,3.335,0.810,6,4.463,0.586,12,3.244,0.663,12
936.54,16.05,Hex1HexNAc3dHex1,"GalNAcα1,3(Fucα1,2)Galβ1,3(GlcNAcβ1,6)GalNAcol",2,blood A,3,1,1,,,5,0.166,-0.698,-0.405,-0.562,-0.165,-0.555,-0.500,-0.637,-0.361,-0.751,-0.256,-0.171,0.247,-0.727,-0.400,-0.650,-0.031,-0.231,0.747,-0.697,-0.196,-0.100,-0.102,-0.188,-0.370,-0.446,-0.299,-0.089,0.642,0.926,0.411,0.905,0.729,0.992,0.123,0.972,0.449,0.196,6,0.298,0.079,6,0.582,0.243,6,1.344,0.834,6,0.516,0.150,12,0.821,0.429,12
936.53,23.83,Hex1HexNAc3dHex1,"Fucα1,2Galβ1,3(GalNAcβ1,4GlcNAcβ1,6)GalNAcol",2,"LacdiNAc, H",3,1,1,,,5,0.062,0.870,0.301,0.577,-0.045,0.431,-0.630,0.481,-0.067,-0.254,0.053,-0.271,0.108,0.789,0.099,0.273,0.173,0.461,0.191,-0.070,0.048,-0.546,0.306,-0.144,0.366,-0.115,0.317,-0.036,0.041,0.659,0.056,0.723,0.788,0.992,0.694,0.972,2.890,0.982,6,0.957,0.413,6,2.391,0.772,6,0.991,0.253,6,2.640,0.600,12,0.974,0.231,12
952.39,16.05,Hex2HexNAc3,"GlcNAcβ1,3Galβ1,3(Galβ1,4GlcNAcβ1,6)GalNAcol",2,,3,2,,,,5,0.382,-0.346,0.049,-0.346,0.282,-0.040,-0.480,-0.005,0.460,-0.180,0.099,-0.420,0.442,-0.215,0.203,-0.053,0.174,-0.011,0.006,-0.485,-0.205,0.185,-0.082,-0.490,-0.003,-0.087,0.090,-0.179,0.666,0.926,0.094,0.818,0.565,0.992,0.626,0.972,1.110,0.326,6,0.984,0.388,6,1.288,0.316,6,0.674,0.188,6,1.199,0.218,12,0.829,0.211,12
952.44,18.22,Hex2HexNAc3,"Galβ1,3(GlcNAcα1,4Galβ1,4GlcNAcβ1,6)GalNAcol",2,αGlcNAc,3,2,,,,5,0.274,-0.027,-0.042,0.127,0.683,0.086,-0.035,0.061,0.153,-0.150,0.789,0.235,-0.135,0.007,0.282,0.707,0.205,0.116,-0.320,0.074,0.013,0.548,0.295,0.297,0.184,0.176,0.197,0.151,0.964,0.964,0.793,0.956,0.936,0.992,0.896,0.972,1.751,0.610,6,1.912,0.840,6,1.845,0.653,6,1.597,0.436,6,1.798,0.426,12,1.754,0.454,12
966.29,13.49,NeuAc2Hex1HexNAc1,"NeuAcα2,3Galβ1,3(NeuAcα2,6)GalNAcol",1,,1,1,,2,,4,0.143,-0.079,0.097,0.250,0.437,0.372,0.528,0.330,-0.109,1.132,-0.060,0.965,0.359,0.076,0.340,-0.013,0.477,0.210,0.027,1.337,0.604,0.366,-0.710,1.008,0.203,0.464,0.242,0.439,0.270,0.758,0.536,0.956,0.731,0.992,0.945,0.972,1.624,0.292,6,4.888,2.133,6,1.777,0.310,6,6.483,3.358,6,1.700,0.204,12,5.686,1.912,12
975.37,17.37,Hex2HexNAc2dHex1Sul1,"(S)Galβ1,3(Gal-(Fuc)GlcNAcβ1,6)GalNAcol",2,Lewisa/x,2,2,1,,1,5,-0.517,-0.520,-0.515,-0.628,-0.589,-0.692,-0.668,-0.623,-0.358,-0.766,-0.455,-0.752,-0.561,-0.495,-0.508,-0.649,-0.705,-0.711,-0.813,-0.691,-0.242,-0.199,-0.789,-0.695,-0.577,-0.604,-0.605,-0.571,0.723,0.943,0.786,0.956,0.583,0.992,0.812,0.972,0.168,0.018,6,0.165,0.044,6,0.154,0.023,6,0.221,0.090,6,0.161,0.014,12,0.193,0.048,12
1024.36,11.51,NeuAc1Hex1HexNAc2dHex1,"GalNAcα1,3(Fucα1,2)Galβ1,3(NeuAcα2,6)GalNAcol",1,blood A,2,1,1,1,,5,-0.436,-0.923,-0.836,-0.981,-0.945,-0.912,-0.217,-0.954,-0.769,-0.868,-0.947,-0.687,-0.502,-0.927,-0.912,-0.799,-0.426,-0.590,-0.955,-0.953,-0.647,-0.725,-0.779,-0.704,-0.839,-0.740,-0.693,-0.794,0.498,0.842,0.348,0.905,0.254,0.992,0.678,0.972,0.062,0.041,6,0.124,0.078,6,0.124,0.044,6,0.067,0.019,6,0.093,0.030,12,0.095,0.039,12
1024.40,13.99,NeuAc1Hex1HexNAc2dHex1,"NeuAca2,3(Fucα1,2)Galβ1,3(GlcNAcβ1,6)GalNAcol",2,H,2,1,1,1,,5,-0.599,-0.963,-0.964,-0.979,-0.951,-0.937,0.173,-0.960,-0.941,-0.879,-0.877,-0.729,-0.333,-0.956,-0.916,-0.931,-0.902,-0.937,-0.890,-0.869,-0.851,0.014,-0.862,-0.621,-0.899,-0.702,-0.829,-0.680,0.320,0.804,0.415,0.905,0.562,0.992,0.925,0.972,0.034,0.024,6,0.261,0.226,6,0.076,0.058,6,0.202,0.147,6,0.055,0.030,12,0.232,0.129,12
1041.55,25.13,Hex2HexNAc2dHex2,"Fucα1,2Galβ1,3(Fucα1,2Galβ1,4GlcNAcβ1,6)GalNAcol",2,H,2,2,2,,,6,0.773,1.555,1.361,1.521,0.912,1.283,-0.095,1.379,1.057,0.419,0.917,-0.066,0.753,1.468,1.240,1.120,1.100,1.271,0.771,0.560,1.090,0.647,1.359,0.150,1.234,0.602,1.159,0.763,0.049,0.659,0.074,0.723,0.655,0.992,0.608,0.972,20.777,5.057,6,7.880,3.639,6,16.046,3.241,6,8.319,3.250,6,18.412,2.951,12,8.099,2.327,12
